EC_id,variable,value
EC1,unique_EC_numbers,767
EC2,unique_EC_numbers,886
EC3,unique_EC_numbers,646
EC4,unique_EC_numbers,328
EC5,unique_EC_numbers,160
EC6,unique_EC_numbers,144
EC7,unique_EC_numbers,69
EC1,novel_clusters_pro,90
EC2,novel_clusters_pro,89.8
EC3,novel_clusters_pro,96.9
EC4,novel_clusters_pro,86.5
EC5,novel_clusters_pro,83.2
EC6,novel_clusters_pro,65.7
EC7,novel_clusters_pro,74.6
EC1,novel_clusters_number,14405
EC2,novel_clusters_number,45278
EC3,novel_clusters_number,51074
EC4,novel_clusters_number,8259
EC5,novel_clusters_number,7193
EC6,novel_clusters_number,6283
EC7,novel_clusters_number,2964
EC1,all_clusters_number,16001
EC2,all_clusters_number,50431
EC3,all_clusters_number,52717
EC4,all_clusters_number,9551
EC5,all_clusters_number,8641
EC6,all_clusters_number,9562
EC7,all_clusters_number,3971
